phecode,aou,mgi,ukb,plus20
DE_666.1,1346,400,151,1
DE_666.2,1081,334,54,1
DE_666.3,103,47,6,0
DE_666.4,1042,136,11,0
DE_666.5,14,3,,0
DE_666.6,83,33,6,0
DE_667,7027,2583,1210,1
DE_667.1,210,58,78,1
DE_667.2,120,39,71,1
DE_667.4,110,36,30,1
DE_667.5,14,7,,0
DE_668,54404,15438,5305,1
DE_668.1,6548,1132,167,1
DE_668.2,11481,2754,138,1
DE_668.3,33226,12446,564,1
DE_668.4,3316,1130,834,1
DE_668.5,3334,715,296,1
DE_668.6,1913,481,92,1
DE_668.7,5,,,0
DE_669,2555,817,413,1
DE_669.1,163,69,46,1
DE_669.2,112,52,44,1
DE_669.3,2200,677,266,1
DE_669.4,55,19,27,0
DE_670,31417,9922,5190,1
DE_672,24688,11858,4959,1
DE_672.1,4844,730,142,1
DE_672.11,763,316,23,1
DE_672.12,798,108,22,1
DE_672.14,171,47,,0
DE_672.2,23051,11621,4835,1
DE_672.21,18612,6825,4423,1
DE_672.22,11,4,17,0
DE_674,26065,4053,1532,1
DE_674.1,1581,392,161,1
DE_674.11,1074,306,145,1
DE_674.2,15763,1896,943,1
DE_674.21,151,22,7,0
DE_674.22,511,39,37,1
DE_675,4217,1814,897,1
DE_675.1,1760,1051,849,1
DE_675.2,329,102,9,0
DE_676,18309,7105,5099,1
DE_676.1,3035,1288,395,1
DE_676.2,10569,4081,3517,1
DE_677,182,,6,0
DE_678,36391,18970,9016,1
DE_679,58621,19473,5203,1
DE_679.1,38912,14100,3022,1
DE_679.2,505,122,188,1
DE_679.3,5341,1990,120,1
DE_679.4,20923,5250,1354,1
DE_679.5,576,132,77,1
DE_679.6,2525,936,166,1
DE_680,20772,5978,1915,1
DE_680.1,8895,3060,519,1
DE_680.2,4414,1350,96,1
DE_680.3,8479,2591,12,0
DE_680.4,5,4,,0
DE_680.5,1234,194,175,1
DE_681,32094,13941,3114,1
DE_682,40220,13234,12698,1
DE_682.1,17049,5393,9954,1
DE_682.11,16653,5289,3299,1
DE_682.12,858,274,6943,1
DE_682.2,1210,362,682,1
DE_682.4,14311,5565,125,1
DE_683,18215,4658,1674,1
DE_683.1,7695,1872,1161,1
DE_683.2,4342,1269,66,1
DE_683.4,739,262,14,0
DE_684,14039,4014,351,1
DE_684.1,11478,3326,312,1
DE_684.11,984,213,46,1
DE_684.12,985,166,1,0
DE_684.13,539,91,82,1
DE_684.14,1001,237,16,0
DE_684.2,2522,720,40,1
DE_684.21,1443,487,31,1
DE_684.8,810,175,,0
DE_685,11157,2904,1032,1
DE_685.1,2218,391,21,1
DE_685.4,311,50,21,1
DE_685.5,49,12,3,0
DE_685.8,8469,2414,975,1
DE_685.81,921,396,62,1
DE_685.82,8018,2226,12,0
DE_686,10514,5189,5094,1
DE_686.1,2772,1637,2886,1
DE_686.2,9122,4267,2701,1
DE_687,494,154,235,1
DE_688,4287,1811,2497,1
DE_688.1,1803,710,1154,1
DE_688.2,498,321,223,1
DE_688.3,775,271,461,1
DE_688.5,6,21,9,0
EM_200,53835,20123,33115,1
EM_200.1,36686,13991,28394,1
EM_200.11,9552,4908,2578,1
EM_200.12,34292,12966,27116,1
EM_200.16,20,5,4,0
EM_200.2,20798,6680,4436,1
EM_200.21,3531,1228,1058,1
EM_200.22,13311,4362,1124,1
EM_200.23,9365,2567,1490,1
EM_200.24,39,35,4,0
EM_200.25,28,7,1,0
EM_200.3,7316,2662,3924,1
EM_200.31,2352,1000,916,1
EM_200.4,5599,1704,562,1
EM_200.41,4780,1390,424,1
EM_200.411,4660,1374,400,1
EM_200.42,87,29,8,0
EM_200.43,166,71,18,0
EM_200.45,69,44,7,0
EM_200.5,19,11,8,0
EM_200.6,1633,167,2,0
EM_200.7,1563,260,165,1
EM_200.8,160,27,,0
EM_200.9,5517,1974,73,1
EM_202,56210,18790,40535,1
EM_202.1,7329,4249,4785,1
EM_202.2,53573,18058,38156,1
EM_202.3,4783,2248,6,0
EM_202.31,3513,1531,,0
EM_202.32,748,316,,0
EM_202.4,4624,2330,5786,1
EM_203,3875,1792,,0
EM_204,70115,20712,4386,1
EM_204.1,12799,1862,,0
EM_204.2,5161,1971,,0
EM_204.3,9105,3048,3067,1
EM_204.31,120,63,3,0
EM_204.32,173,86,141,1
EM_204.4,33057,9891,725,1
EM_204.5,16864,6855,,0
EM_206,258,150,26,1
EM_206.1,1,,1,0
EM_206.2,43,28,7,0
EM_208,7831,4895,2249,1
EM_208.1,1073,886,458,1
EM_208.2,7357,4565,2001,1
EM_208.22,3772,1727,199,1
EM_209,4665,1636,1547,1
EM_209.1,2532,722,828,1
EM_209.11,144,132,148,1
EM_209.12,1203,253,537,1
EM_209.13,663,130,107,1
EM_209.14,106,109,37,1
EM_209.2,865,456,564,1
EM_209.23,77,50,162,1
EM_209.3,20,7,12,0
EM_209.4,425,172,179,1
EM_211,6080,2790,1574,1
EM_211.1,1103,708,342,1
EM_211.11,399,292,145,1
EM_211.13,565,329,192,1
EM_211.131,84,27,44,1
EM_211.132,3,8,4,0
EM_211.133,1,10,5,0
EM_211.14,31,32,10,0
EM_211.2,2416,1211,861,1
EM_211.22,243,120,88,1
EM_211.23,121,133,85,1
EM_211.3,159,57,28,1
EM_214,7045,1237,110,1
EM_214.1,6365,896,97,1
EM_214.11,868,308,,0
EM_214.12,727,236,29,1
EM_214.2,269,73,2,0
EM_214.21,120,29,,0
EM_214.22,52,10,2,0
EM_215,4330,1849,374,1
EM_215.1,4218,1784,358,1
EM_215.2,52,40,13,0
EM_217,182,97,2,0
EM_217.1,80,42,1,0
EM_217.2,95,55,,0
EM_218,126,107,21,1
EM_218.2,126,107,21,1
EM_218.21,27,13,18,0
EM_218.22,1,,,0
EM_220,185,51,41,1
EM_220.1,82,27,5,0
EM_220.2,5,1,,0
EM_228,131,56,50,1
EM_229,3313,1919,175,1
EM_229.1,36,13,,0
EM_230,14095,6642,11296,1
EM_230.1,9283,4835,552,1
EM_230.2,,659,9947,0
EM_230.21,,,9884,0
EM_230.22,,630,83,0
EM_230.3,4891,1840,1478,1
EM_230.4,1280,607,95,1
EM_230.7,2158,1370,,0
EM_232,55179,15908,9305,1
EM_232.1,407,133,11,0
EM_232.2,16763,2077,5149,1
EM_232.21,721,114,62,1
EM_232.22,47,14,9,0
EM_232.23,17,4,5,0
EM_232.26,321,28,1,0
EM_232.27,3423,368,1840,1
EM_232.29,385,59,688,1
EM_232.3,117,48,21,1
EM_232.4,47639,14903,4590,1
EM_232.5,46,36,6,0
EM_232.6,118,41,38,1
EM_234,1735,625,41,1
EM_234.1,15,,,0
EM_236,73572,34026,32965,1
EM_236.1,73060,30748,32888,1
EM_236.11,31239,13941,243,1
EM_236.2,2057,621,110,1
EM_237,,4537,99,0
EM_238,744,109,6,0
EM_238.1,39,14,2,0
EM_238.2,29,6,1,0
EM_238.3,45,,,0
EM_238.4,458,66,1,0
EM_239,106196,33436,71132,1
EM_239.1,62711,14848,66269,1
EM_239.11,43749,10442,66099,1
EM_239.13,249,66,,0
EM_239.2,36599,8817,537,1
EM_239.21,8193,2586,160,1
EM_239.3,31407,7167,384,1
EM_239.4,181,71,14,0
EM_244,7267,1460,1162,1
EM_244.4,703,629,37,1
EM_247,47467,16278,27448,1
EM_247.2,124,110,15,0
EM_247.3,5799,3172,1365,1
EM_247.4,10645,2701,2414,1
EM_247.41,327,68,,0
EM_247.42,8627,2387,101,1
EM_247.5,12432,5285,3651,1
EM_247.51,4718,1990,,0
EM_247.52,6741,2998,,0
EM_247.53,118,47,72,1
EM_247.54,31,16,,0
EM_247.55,148,27,40,1
EM_247.6,13,10,12,0
EM_247.7,1930,458,1293,1
EM_247.71,790,225,,0
EM_247.8,31176,10087,21201,1
EM_247.81,19,7,1,0
EM_247.82,,2,1,0
EM_247.83,1,,,0
EM_247.85,3,6,1,0
EM_247.86,405,82,6,0
EM_247.87,102,36,3,0
EM_247.88,30870,10032,21191,1
EM_248,4081,725,782,1
EM_249,661,178,409,1
EM_249.1,86,27,92,1
EM_249.2,72,10,,0
EM_249.3,28,17,,0
EM_252,9690,3883,1496,1
EM_252.1,25,2,,0
EM_252.2,28,3,3,0
EM_252.3,2917,1549,853,1
EM_252.31,158,32,3,0
EM_252.4,1468,847,60,1
EM_252.5,4131,1217,462,1
EM_252.51,3624,1046,420,1
EM_256,56569,17940,25506,1
EM_256.1,2905,1129,1263,1
EM_256.2,16171,5300,7562,1
EM_256.3,14872,4234,4194,1
EM_256.31,13558,3640,3690,1
EM_256.32,2060,977,564,1
EM_256.4,12230,6132,3351,1
EM_256.5,25094,4649,6047,1
EM_256.6,6046,2818,2640,1
EM_256.7,26299,8563,9521,1
EM_256.71,22060,7482,,0
EM_256.72,5083,1624,,0
EM_257,985,325,175,1
GE_960,799,334,188,1
GE_960.1,132,30,37,1
GE_960.11,73,15,16,0
GE_960.12,16,6,3,0
GE_960.13,13,4,6,0
GE_960.14,1,,,0
GE_960.15,1,1,,0
GE_960.17,1,,,0
GE_960.2,72,26,29,1
GE_960.21,23,10,20,0
GE_960.22,,1,,0
GE_960.24,1,,,0
GE_960.25,3,2,1,0
GE_960.26,1,,,0
GE_960.28,13,2,,0
GE_960.3,146,66,87,1
GE_960.31,87,39,39,1
GE_960.32,39,14,39,0
GE_960.33,5,4,,0
GE_960.34,1,,1,0
GE_960.35,1,,,0
GE_960.36,7,,,0
GE_960.5,1,,,0
GE_960.7,11,10,,0
GE_960.8,26,9,,0
GE_961,2668,414,241,1
GE_961.1,598,305,147,1
GE_961.11,298,146,135,1
GE_961.111,176,85,,0
GE_961.112,56,31,,0
GE_961.12,45,23,,0
GE_961.2,97,99,,0
GE_961.21,46,39,,0
GE_961.22,18,15,,0
GE_961.23,4,5,,0
GE_961.3,6,2,,0
GE_961.4,30,17,,0
GE_961.7,1,1,,0
GE_961.8,1989,,,0
GE_961.81,1403,,,0
GE_961.82,594,,,0
GE_961.83,44,,,0
GE_961.84,28,,,0
GE_962,1659,444,102,1
GE_962.1,84,31,32,1
GE_962.11,20,3,1,0
GE_962.12,5,3,3,0
GE_962.121,2,2,,0
GE_962.13,36,16,23,0
GE_962.131,16,14,,0
GE_962.132,1,,,0
GE_962.133,6,1,,0
GE_962.14,2,1,,0
GE_962.15,1,2,,0
GE_962.2,40,5,5,0
GE_962.21,2,1,,0
GE_962.22,2,,,0
GE_962.23,1,,,0
GE_962.24,20,,,0
GE_962.25,3,1,,0
GE_962.3,52,20,8,0
GE_962.32,,1,,0
GE_962.33,6,4,,0
GE_962.34,2,1,,0
GE_962.35,3,,,0
GE_962.38,16,7,,0
GE_962.381,14,7,,0
GE_962.39,13,3,,0
GE_962.391,3,,,0
GE_962.392,8,1,,0
GE_962.4,728,280,14,0
GE_962.41,255,101,,0
GE_962.42,11,14,,0
GE_962.43,284,144,,0
GE_962.5,465,50,18,0
GE_962.53,3,,,0
GE_962.54,22,1,1,0
GE_962.6,2,,,0
GE_962.7,48,7,7,0
GE_962.71,6,1,,0
GE_962.9,86,36,18,0
GE_962.94,,1,,0
GE_962.95,1,,,0
GE_962.96,1,1,,0
GE_963,562,144,96,1
GE_963.1,439,65,69,1
GE_963.11,21,1,,0
GE_963.12,10,2,,0
GE_963.14,2,,,0
GE_963.16,1,,,0
GE_963.17,5,1,1,0
GE_963.172,4,1,,0
GE_963.18,2,,1,0
GE_963.3,11,6,8,0
GE_963.31,1,,,0
GE_963.34,2,1,1,0
GE_963.37,1,,,0
GE_963.5,114,72,19,0
GE_964,247,121,32,1
GE_964.1,8,6,2,0
GE_964.11,7,6,,0
GE_964.2,66,87,5,0
GE_964.21,34,83,,0
GE_964.3,103,21,22,1
GE_964.31,19,5,,0
GE_964.32,15,2,,0
GE_964.33,2,,,0
GE_964.34,4,2,,0
GE_964.4,9,7,,0
GE_964.5,3,,1,0
GE_964.7,5,,2,0
GE_965,2246,979,55,1
GE_965.1,1,2,,0
GE_965.2,1,,,0
GE_965.3,1526,759,55,1
GE_965.4,685,226,,0
GE_965.5,8,,,0
GE_966,545,295,843,1
GE_966.1,29,27,9,0
GE_966.11,2,3,2,0
GE_966.12,1,,,0
GE_966.2,88,33,54,1
GE_966.21,6,1,4,0
GE_966.22,19,13,27,0
GE_966.23,17,3,,0
GE_966.3,3,,,0
GE_966.4,419,233,780,1
GE_966.41,418,233,780,1
GE_966.42,1,,,0
GE_967,480,132,,0
GE_967.1,32,20,,0
GE_967.2,10,,,0
GE_967.3,38,11,,0
GE_967.4,389,98,,0
GE_967.5,5,2,,0
GE_967.6,9,1,,0
GE_968,107,39,43,1
GE_968.1,5,4,,0
GE_968.2,6,1,,0
GE_968.3,4,1,,0
GE_968.4,2,1,,0
GE_968.5,3,1,,0
GE_969,409,220,36,1
GE_969.1,202,85,31,1
GE_969.11,36,16,5,0
GE_969.12,129,60,8,0
GE_969.122,1,1,,0
GE_969.123,,1,,0
GE_969.126,1,,,0
GE_969.128,5,1,2,0
GE_969.13,7,,,0
GE_969.14,32,5,1,0
GE_969.15,7,2,2,0
GE_969.2,34,26,,0
GE_969.3,80,26,5,0
GE_969.4,3,,,0
GE_969.5,51,16,,0
GE_969.6,7,,,0
GE_969.7,39,72,,0
GE_970,2979,869,884,1
GE_970.1,798,128,149,1
GE_970.11,558,109,142,1
GE_970.12,171,14,11,0
GE_970.14,117,18,,0
GE_970.2,891,235,444,1
GE_970.21,109,26,51,1
GE_970.22,125,52,99,1
GE_970.23,3,7,5,0
GE_970.24,4,,,0
GE_970.25,541,141,299,1
GE_970.4,29,22,11,0
GE_970.5,5,2,1,0
GE_970.6,587,175,231,1
GE_970.61,62,36,74,1
GE_970.62,20,11,10,0
GE_970.63,176,36,20,1
GE_970.631,121,23,20,1
GE_970.65,12,4,12,0
GE_970.66,3,3,2,0
GE_970.661,1,,,0
GE_970.7,6,6,4,0
GE_970.8,10,3,18,0
GE_971,1112,496,780,1
GE_971.1,922,397,780,1
GE_971.11,176,74,116,1
GE_971.12,42,16,27,0
GE_971.13,63,13,49,0
GE_971.14,377,170,171,1
GE_971.2,214,109,,0
GE_972,10663,4509,746,1
GE_972.1,9654,4153,300,1
GE_972.11,583,263,167,1
GE_972.2,380,151,287,1
GE_972.21,57,31,51,1
GE_972.22,2,,,0
GE_972.4,46,16,11,0
GE_972.41,46,16,11,0
GE_972.411,8,5,1,0
GE_972.5,448,107,10,0
GE_972.7,199,74,14,0
GE_972.8,75,32,,0
GE_972.81,66,28,,0
GE_972.82,16,6,,0
GE_972.83,1,,,0
GE_972.9,243,91,146,1
GE_972.91,13,3,,0
GE_972.92,13,6,,0
GE_972.93,1,,,0
GE_973,77,18,51,0
GE_973.3,5,,,0
GE_973.4,34,3,3,0
GE_973.5,38,15,46,0
GE_973.8,,,2,0
GE_974,1858,917,885,1
GE_974.1,833,408,208,1
GE_974.11,336,88,,0
GE_974.12,36,9,,0
GE_974.2,1010,510,661,1
GE_974.22,14,19,,0
GE_974.23,15,6,,0
GE_974.24,462,231,,0
GE_974.25,7,,,0
GE_974.3,32,8,23,0
GE_974.31,1,1,,0
GE_974.4,16,5,,0
GE_975,150,78,148,1
GE_975.1,16,4,,0
GE_975.2,130,74,148,1
GE_975.3,2,,,0
GE_976,691,464,409,1
GE_976.1,40,74,10,0
GE_976.2,12,6,,0
GE_976.3,64,47,,0
GE_976.4,34,32,,0
GE_976.5,546,308,399,1
GE_976.51,154,167,1,0
GE_976.52,244,143,218,1
GE_977,481,193,73,1
GE_977.1,327,94,19,0
GE_977.11,81,19,,0
GE_977.12,2,2,1,0
GE_977.13,2,2,,0
GE_977.14,2,,4,0
GE_977.15,,,2,0
GE_977.2,19,15,7,0
GE_977.3,8,2,3,0
GE_977.5,17,11,1,0
GE_977.6,79,61,29,1
GE_977.7,32,10,15,0
GE_978,1222,488,334,1
GE_978.1,58,24,23,1
GE_978.12,58,24,23,1
GE_978.2,858,310,203,1
GE_978.21,170,73,100,1
GE_978.22,701,241,104,1
GE_978.221,9,7,,0
GE_978.222,18,4,,0
GE_978.3,303,158,112,1
GE_978.31,59,60,23,1
GE_978.313,,,1,0
GE_978.314,8,7,15,0
GE_978.315,3,,2,0
GE_978.316,5,4,9,0
GE_978.33,61,34,54,1
GE_978.34,135,47,14,0
GE_978.35,28,10,6,0
GE_978.36,4,9,,0
GE_978.37,21,14,10,0
GE_978.4,10,1,,0
GE_979,435,266,35,1
GE_979.2,435,266,35,1
GE_981,433,241,88,1
GE_981.1,181,126,,0
GE_981.2,6,,,0
GE_981.3,1,,,0
GE_981.4,14,5,10,0
GE_981.5,75,37,28,1
GE_981.7,82,27,40,1
GE_981.8,35,27,7,0
GE_981.9,39,19,3,0
GE_982,1246,,,0
GE_983,4030,148,506,1
GE_983.1,2076,,,0
GE_983.2,1297,148,506,1
GI_500,3265,754,2844,1
GI_500.1,643,271,34,1
GI_500.2,202,16,10,0
GI_500.3,39,10,18,0
GI_500.4,2395,471,2736,1
GI_500.41,593,297,2476,1
GI_500.6,7,2,5,0
GI_502,23988,3792,9138,1
GI_502.1,17999,3113,5942,1
GI_502.11,13072,1627,5660,1
GI_502.12,946,42,21,1
GI_502.13,1309,46,,0
GI_502.14,3418,21,39,1
GI_502.15,39,13,33,0
GI_502.16,3790,704,248,1
GI_502.17,2,,3,0
GI_502.2,365,87,87,1
GI_502.3,8371,1048,2299,1
GI_502.31,1444,23,88,1
GI_502.32,6894,991,2009,1
GI_504,9048,1462,2823,1
GI_504.1,3571,236,164,1
GI_504.2,669,12,23,0
GI_504.3,4892,824,1936,1
GI_504.31,657,47,106,1
GI_504.4,112,27,47,1
GI_505,652,505,1240,1
GI_505.1,147,258,241,1
GI_506,7497,3341,1625,1
GI_506.1,29,14,10,0
GI_506.2,358,138,105,1
GI_506.3,2038,752,608,1
GI_506.4,539,304,425,1
GI_506.5,4128,1838,134,1
GI_506.51,2665,1182,45,1
GI_506.6,264,146,146,1
GI_507,10600,3941,4930,1
GI_507.1,3919,1261,874,1
GI_507.11,2289,486,122,1
GI_507.2,1391,400,314,1
GI_507.3,559,243,543,1
GI_507.31,12,2,5,0
GI_507.5,31,13,26,0
GI_508,3038,1021,1159,1
GI_509,3377,1324,2166,1
GI_509.1,1788,545,581,1
GI_509.11,962,330,60,1
GI_509.12,157,51,23,1
GI_509.3,190,86,21,1
GI_509.4,19,4,3,0
GI_509.5,48,14,8,0
GI_510,24789,7511,37006,1
GI_510.1,520,300,334,1
GI_510.2,18661,4801,30565,1
GI_510.4,88,100,61,1
GI_510.5,2858,903,1070,1
GI_510.6,303,213,341,1
GI_510.7,427,146,513,1
GI_510.8,3676,1203,5976,1
GI_511,78413,29339,47287,1
GI_512,24195,10539,11444,1
GI_513,10441,4488,18837,1
GI_513.1,1736,705,7485,1
GI_513.2,4824,2519,7771,1
GI_513.3,2115,840,5037,1
GI_513.4,756,298,97,1
GI_514,13911,7542,12004,1
GI_514.1,3821,1636,3682,1
GI_514.2,8129,4407,7626,1
GI_514.21,1019,203,634,1
GI_514.3,3891,3022,1191,1
GI_514.31,1533,2235,233,1
GI_515,9887,2915,3176,1
GI_516,15963,6455,6087,1
GI_516.1,499,350,375,1
GI_516.3,199,187,49,1
GI_516.4,3588,1399,,0
GI_516.5,28,12,22,0
GI_516.6,23,12,,0
GI_517,2947,1545,2372,1
GI_517.1,653,438,560,1
GI_517.2,497,288,121,1
GI_517.3,8,5,,0
GI_517.4,774,431,1098,1
GI_518,2977,866,2259,1
GI_520,35193,12054,75754,1
GI_520.1,18850,7519,34467,1
GI_520.11,8357,3104,23861,1
GI_520.12,312,264,1088,1
GI_520.13,7245,2415,6333,1
GI_520.14,5812,2801,5155,1
GI_520.2,19258,5055,46141,1
GI_522,47527,11793,73122,1
GI_522.1,6280,2909,7084,1
GI_522.11,3122,1565,2736,1
GI_522.12,3118,1584,4767,1
GI_522.13,520,184,429,1
GI_522.14,684,314,,0
GI_522.4,1312,716,521,1
GI_522.5,92,51,44,1
GI_522.6,866,488,,0
GI_522.61,771,469,,0
GI_522.62,72,28,,0
GI_522.63,65,10,,0
GI_522.7,1891,816,2041,1
GI_522.8,3474,641,12509,1
GI_522.9,26856,3901,44758,1
GI_522.91,4078,441,2038,1
GI_522.92,3724,651,768,1
GI_523,35446,10742,53103,1
GI_523.1,890,352,951,1
GI_523.2,32980,10480,47141,1
GI_523.3,140,39,218,1
GI_523.4,7193,2881,1252,1
GI_524,15978,7477,1138,1
GI_524.1,14500,6465,,0
GI_524.2,484,564,36,1
GI_524.3,252,85,391,1
GI_525,5047,2990,3330,1
GI_525.1,1846,753,2809,1
GI_525.2,64,19,6,0
GI_526,14538,6154,25031,1
GI_526.1,6216,2734,5046,1
GI_526.11,183,126,58,1
GI_526.12,3161,1936,1504,1
GI_526.2,5057,1644,1990,1
GI_526.3,372,100,115,1
GI_527,103841,31408,59576,1
GI_527.1,63,22,,0
GI_527.2,3218,502,,0
GI_527.3,9525,4268,17531,1
GI_527.4,114,,,0
GI_528,59172,20044,19243,1
GI_528.1,53633,18755,18957,1
GI_528.2,41940,14702,19243,1
GI_529,82226,17103,44986,1
GI_529.1,45468,4174,293,1
GI_529.2,17646,,2957,0
GI_529.4,146,49,34,1
GI_529.5,44159,11929,22831,1
GI_529.6,197,71,44,1
GI_529.7,5516,2305,3329,1
GI_530,12215,4291,11655,1
GI_530.1,3017,990,3126,1
GI_530.2,1629,657,1989,1
GI_530.3,737,326,1809,1
GI_530.4,305,289,483,1
GI_530.5,701,139,,0
GI_532,13758,7438,10304,1
GI_532.1,1496,1188,2340,1
GI_532.2,1743,1008,2158,1
GI_532.3,337,136,268,1
GI_532.4,689,179,1239,1
GI_535,4830,2397,7840,1
GI_537,5043,3035,2589,1
GI_537.1,2544,1519,2171,1
GI_537.2,683,382,104,1
GI_537.3,1410,1250,,0
GI_540,13336,2997,1944,1
GI_540.1,7389,1203,1254,1
GI_540.11,3661,865,289,1
GI_540.2,1993,496,537,1
GI_540.3,10682,1595,1236,1
GI_540.4,949,190,259,1
GI_542,25322,8378,7627,1
GI_542.1,5877,1940,1884,1
GI_542.11,5390,1926,1639,1
GI_542.2,17203,4813,4724,1
GI_542.3,2164,938,936,1
GI_542.4,2218,1057,1061,1
GI_542.5,263,119,92,1
GI_542.6,53,32,,0
GI_542.7,11780,6032,1459,1
GI_542.8,456,305,420,1
GI_542.81,291,159,355,1
GI_542.9,422,390,29,1
GI_545,7998,5471,6008,1
GI_546,18623,7581,4947,1
GI_546.2,367,226,336,1
GI_546.3,6549,997,519,1
GI_546.31,821,44,140,1
GI_546.4,631,272,54,1
GI_546.5,4,4,2,0
GI_550,20681,6422,25910,1
GI_550.1,16112,5488,22816,1
GI_550.2,5208,1501,4321,1
GI_550.21,2297,744,1355,1
GI_550.22,1848,439,1974,1
GI_550.3,53,47,171,1
GI_550.4,1611,414,715,1
GI_552,5445,2294,4133,1
GI_552.1,896,611,1480,1
GI_552.11,125,92,,0
GI_552.2,1711,1075,1472,1
GI_554,10117,4048,4959,1
GI_554.1,5844,2437,3668,1
GI_554.11,5122,2232,3230,1
GI_554.12,2131,895,895,1
GI_554.2,2677,974,777,1
GI_554.3,630,260,,0
GI_555,6242,4137,2714,1
GI_556,19799,10112,5642,1
GI_556.3,9069,4325,1680,1
GI_556.4,60,32,4,0
GI_556.8,10271,3100,3507,1
GI_557,29780,9345,34485,1
GI_557.1,3215,994,3159,1
GI_557.2,14424,5295,4387,1
GI_557.8,15892,4590,18483,1
GI_558,12030,567,3531,1
GU_580,4288,3078,3148,1
GU_580.1,317,149,57,1
GU_580.2,676,625,1129,1
GU_580.5,2867,1401,1637,1
GU_580.51,279,154,117,1
GU_580.52,430,241,121,1
GU_580.53,38,13,49,0
GU_580.54,7,2,6,0
GU_580.55,54,86,48,1
GU_580.56,7,8,4,0
GU_580.57,37,10,44,0
GU_580.58,1,,,0
GU_581,19138,7234,7046,1
GU_581.1,5825,2507,375,1
GU_581.13,267,113,58,1
GU_581.3,12597,5325,4976,1
GU_581.31,7473,2916,3987,1
GU_581.32,794,180,404,1
GU_581.33,1061,2015,775,1
GU_581.34,221,257,48,1
GU_581.35,170,188,61,1
GU_581.4,472,164,63,1
GU_581.5,230,213,53,1
GU_582,36594,14415,22841,1
GU_582.1,23667,8571,12444,1
GU_582.2,25792,10964,13394,1
GU_582.21,5016,2243,2488,1
GU_582.3,,1646,818,0
GU_585,18840,11457,9793,1
GU_585.1,2556,627,2554,1
GU_586,24342,12218,5091,1
GU_586.1,187,52,102,1
GU_586.2,11382,2563,2825,1
GU_586.3,368,278,151,1
GU_586.4,159,48,,0
GU_586.5,1619,634,281,1
GU_586.6,88,26,,0
GU_586.7,122,50,,0
GU_588,6946,3303,390,1
GU_588.1,4559,2124,158,1
GU_588.11,923,552,11,0
GU_588.12,66,22,23,1
GU_588.2,2970,1733,233,1
GU_591,49060,17896,21272,1
GU_592,20377,6559,4902,1
GU_592.1,18683,6241,4694,1
GU_592.11,13825,4074,222,1
GU_592.12,1720,1140,1744,1
GU_592.2,2101,453,248,1
GU_592.21,247,85,48,1
GU_592.3,74,26,6,0
GU_593,31241,10542,22344,1
GU_593.1,6805,3307,,0
GU_593.2,9239,2623,,0
GU_593.3,586,223,1028,1
GU_594,75569,26520,30505,1
GU_594.1,16454,9410,12288,1
GU_594.2,35941,8990,1847,1
GU_594.3,26602,11332,12976,1
GU_594.31,9184,3364,,0
GU_594.32,10016,4621,7834,1
GU_594.33,684,264,,0
GU_594.4,35942,10671,5481,1
GU_594.41,11096,2628,,0
GU_594.5,1166,1048,198,1
GU_594.6,12720,4478,,0
GU_596,13545,5752,15178,1
GU_596.1,1419,651,2820,1
GU_596.2,5764,2002,,0
GU_596.3,509,162,1379,1
GU_596.4,237,219,243,1
GU_596.5,3462,1777,2201,1
GU_597,4512,2432,6165,1
GU_597.1,1371,1110,5186,1
GU_597.2,123,45,,0
GU_597.3,204,235,162,1
GU_597.4,191,99,52,1
GU_597.5,336,96,352,1
GU_597.6,56,71,,0
GU_597.8,555,337,,0
GU_598,4217,1757,509,1
GU_599,14817,10328,6296,1
GU_599.7,762,140,63,1
GU_602,24646,9072,20861,1
GU_602.1,21254,6904,18894,1
GU_602.2,49,15,,0
GU_602.3,252,220,36,1
GU_602.4,8271,3820,,0
GU_602.5,2902,834,2412,1
GU_602.51,2469,790,1534,1
GU_602.511,978,219,380,1
GU_602.512,932,165,1361,1
GU_603,5819,1901,3295,1
GU_603.1,2224,522,2033,1
GU_603.2,1067,283,38,1
GU_603.3,86,80,,0
GU_603.4,151,28,121,1
GU_603.5,2066,710,1269,1
GU_603.6,2365,798,,0
GU_604,4214,1557,5203,1
GU_604.1,774,244,,0
GU_604.3,661,399,1088,1
GU_604.4,183,68,33,1
GU_604.5,1018,249,448,1
GU_605,15304,6541,432,1
GU_605.1,11745,5609,432,1
GU_605.2,383,146,,0
GU_608,6326,3325,4276,1
GU_609,871,542,75,1
GU_609.1,95,119,,0
GU_609.2,80,62,,0
GU_610,14659,3125,2475,1
GU_610.1,12589,2531,1060,1
GU_610.2,1431,134,369,1
GU_610.3,1046,45,381,1
GU_610.5,611,33,362,1
GU_612,29135,7938,3441,1
GU_612.1,3626,1204,968,1
GU_612.2,4001,1538,1104,1
GU_612.21,1028,260,13,0
GU_612.22,4368,1630,1091,1
GU_612.23,104,89,,0
GU_612.5,13108,3402,126,1
GU_612.7,6631,1631,662,1
GU_612.8,11256,1749,509,1
GU_614,33203,8396,8623,1
GU_614.1,2074,615,3651,1
GU_614.3,3408,941,1177,1
GU_614.31,662,202,66,1
GU_614.32,942,351,572,1
GU_614.4,1136,366,399,1
GU_614.5,30428,7401,3992,1
GU_614.51,5217,574,1461,1
GU_614.52,21043,5577,895,1
GU_614.53,1048,257,953,1
