phecode,aou,mgi,ukb,plus20
CA_114.1,731,764,30,1
CA_114.11,69,83,30,1
CA_114.12,43,273,,0
CA_114.2,804,471,19,0
CA_114.4,776,565,78,1
CA_114.41,292,204,,0
CA_114.42,186,73,,0
CA_114.43,4,1,,0
CA_114.44,61,23,,0
CA_114.45,3,11,,0
CA_114.5,133,152,64,1
CA_114.6,1967,980,622,1
CA_116,7408,9255,21030,1
CA_120,9076,5044,9184,1
CA_120.1,4842,2122,3950,1
CA_120.11,170,86,184,1
CA_120.12,110,53,127,1
CA_120.13,665,506,673,1
CA_120.14,9,9,4,0
CA_120.15,204,84,24,1
CA_120.2,3771,2588,4514,1
CA_120.21,2622,1936,4003,1
CA_120.22,435,222,283,1
CA_120.3,146,75,104,1
CA_121,2022,880,2348,1
CA_121.1,832,434,786,1
CA_121.11,341,151,118,1
CA_121.12,544,299,667,1
CA_121.2,1144,453,1460,1
CA_121.21,857,339,1054,1
CA_121.22,292,109,281,1
CA_121.23,60,25,102,1
CA_122,3358,2408,3869,1
CA_122.1,599,306,455,1
CA_122.11,138,94,100,1
CA_122.2,3027,2290,3481,1
CA_122.21,597,1128,826,1
CA_122.22,624,293,1219,1
CA_122.23,75,48,44,1
CA_122.24,187,104,185,1
CA_122.25,32,21,19,0
CA_122.26,8,27,6,0
CA_123,1381,503,1326,1
CA_123.1,1353,487,1286,1
CA_124,3400,1553,2288,1
CA_124.3,651,495,669,1
CA_124.5,2011,811,585,1
CA_124.6,573,231,718,1
CA_124.7,188,102,315,1
CA_124.8,118,67,161,1
CA_125,1096,1187,186,1
CA_125.1,33,10,,0
CA_128,1346,,,0
CA_128.1,1179,,,0
CA_128.2,259,,,0
CA_130,36626,32362,83399,1
CA_132,6220,4685,4945,1
CA_135,4610,5409,6667,1
CA_135.1,1240,2499,1428,1
CA_135.11,157,143,110,1
CA_135.12,245,723,220,1
CA_135.14,19,92,9,0
CA_135.16,455,968,774,1
CA_135.2,96,662,52,1
CA_135.3,54,133,15,0
CA_135.4,9,63,,0
CA_135.5,2594,1812,4704,1
CA_135.6,785,829,515,1
CA_136,43833,24168,56769,1
CA_136.1,215,3743,192,1
CA_136.2,5032,8577,10969,1
CA_136.3,481,6533,381,1
CA_136.4,41058,18729,48081,1
CA_136.41,38972,17787,38947,1
CA_136.42,9695,6142,18822,1
CA_136.6,464,1717,182,1
CA_136.61,136,613,62,1
CA_136.8,420,485,121,1
CA_137,447,1700,251,1
CA_137.1,173,968,77,1
CA_137.3,13,79,6,0
CA_137.5,259,737,159,1
CA_137.51,103,168,77,1
CA_137.52,22,41,11,0
CA_137.53,21,401,3,0
CA_137.54,117,153,68,1
CA_138,41801,21049,13549,1
CA_138.1,12056,4198,1106,1
CA_138.2,24301,9101,6980,1
CA_139,28614,16014,15119,1
CA_139.1,1325,2932,478,1
CA_139.2,57,961,30,1
CA_139.3,4641,7059,881,1
CA_139.4,1159,831,875,1
CA_139.5,9709,2837,10301,1
CA_139.51,231,43,71,1
CA_139.52,1034,299,604,1
CA_139.53,5512,1815,7304,1
CA_139.54,463,32,1434,1
CA_139.6,15793,5075,2844,1
CA_139.61,15667,5002,2747,1
CA_139.62,167,102,108,1
CA_140,4165,5326,2124,1
CA_142,40831,11765,2153,1
CA_142.1,24020,6818,2153,1
CA_142.2,17833,8658,,0
CA_142.21,3508,1805,,0
CA_144,20209,11149,28779,1
CA_144.1,3124,4723,4808,1
CA_144.11,292,974,248,1
CA_144.12,236,570,257,1
CA_144.13,2668,3592,4337,1
CA_144.2,17654,7703,23917,1
CA_144.21,15068,4108,15055,1
CA_144.3,1560,1557,2331,1
CA_144.4,88,2509,88,1
CA_146,484,1889,267,1
CA_146.1,37,142,35,1
